,freesound_id,license,name,path,tags,username
0,337101,http://creativecommons.org/publicdomain/zero/1.0/,Group_of_Dogs_Barking.WAV,files/337101_3474310-hq.ogg,"['growling', 'growl', 'Group', 'barking', 'animal', 'pet', 'angry', 'Dog', 'dog', 'bark', 'anger', 'Bark', 'Dogs', 'pets']",ivolipa
1,327666,http://creativecommons.org/licenses/by-nc/3.0/,Dog Bark.wav,files/327666_5632380-hq.ogg,"['bellow', 'barking', 'intimidating', 'angrily', 'bark', 'aggressive', 'barked', 'growl', 'OWI', 'thunder', 'breaking', 'yap', 'woof', 'shout', 'snap', 'dogs', 'big', 'Dog', 'bawl', 'snarl', 'fierce', 'aggressively', 'yelp', 'roar', 'cry', 'dog', 'bay', 'yell']",Juan_Merie_Venter
2,518570,http://creativecommons.org/licenses/by/3.0/,Barking Dogs.wav,files/518570_10201334-hq.ogg,"['Ferrell-dogs', 'guarding-dog', 'doggie-daycare', 'Hunde', 'dog-bark', 'Dog', 'Hund', 'dogs', 'guard-dog', 'growling', 'growl', 'puppy', 'barking', 'animal', 'barking-dogs', 'dog', 'angry', 'pet', 'pets', 'bark', 'howl', 'Astbury']",Astounded
3,413758,http://creativecommons.org/publicdomain/zero/1.0/,dogbarking.mp3,files/413758_7958399-hq.ogg,"['big', 'bark', 'dog', 'Dog', 'barking']",lala_davis554
4,163459,http://creativecommons.org/publicdomain/zero/1.0/,LBS_FX DOG Small Alert Bark001.wav,files/163459_2965892-hq.ogg,"['Chihuahua', 'FX', 'Dog', 'dog', 'Small', 'bark']",LittleBigSounds
5,456943,http://creativecommons.org/publicdomain/zero/1.0/,Blossom Bark  29sec mix.wav,files/456943_3194431-hq.ogg,"['German-shepherd', 'barking', 'Dog', 'dog', 'bark', 'howl']",Zajjman
6,418105,http://creativecommons.org/licenses/by/3.0/,single dog bark 3,files/418105_6078577-hq.ogg,"['growling', 'growl', 'barking', 'pet', 'dog', 'animal', 'bark']",crazymonke9
7,236042,http://creativecommons.org/licenses/by-nc/3.0/,Jazz the Dog Howl & Bark (027).wav,files/236042_180659-hq.ogg,"['Barking', 'Jazz', 'Barks', 'Dog', 'Howling', 'Wolf', 'Animal', 'Bark', 'delphidebrain', 'Howl']",delphidebrain
8,115536,http://creativecommons.org/licenses/by/3.0/,Two Barks.wav,files/115536_1956076-hq.ogg,"['animal', 'bark', 'barking', 'dog', 'effects', 'noise', 'sound', 'woof']",Puniho
9,160093,http://creativecommons.org/licenses/by/3.0/,Dog bark 2,files/160093_2888453-hq.ogg,"['Average-size', 'bark', 'dog']",jorickhoofd
10,180977,http://creativecommons.org/publicdomain/zero/1.0/,Barking Dog,files/180977_3370987-hq.ogg,"['bark', 'happy', 'loud', 'dog', 'barking']",Suprasummun
11,485962,http://creativecommons.org/publicdomain/zero/1.0/,Dog Barking Distance - 1.wav,files/485962_6150892-hq.ogg,"['distance', 'barking', 'dog', 'woof', 'attack', 'background', 'bark']",SpaceJoe
12,157322,http://creativecommons.org/licenses/by/3.0/,Dog Bark Staffordshire Bullterrier,files/157322_58-hq.ogg,"['sennheiser', 'sound-devices', 'dog', 'm-s', 'staffordshire', 'mkh-60', 'mid-side', '722', 'mkh-30', 'ms', 'bark', 'bullterrier']",Anton
13,118963,http://creativecommons.org/publicdomain/zero/1.0/,Dog Bark 3.wav,files/118963_1990695-hq.ogg,"['animal', 'bark', 'dog']",esperri
