,HPCP0,HPCP1,HPCP10,HPCP11,HPCP2,HPCP3,HPCP4,HPCP5,HPCP6,HPCP7,HPCP8,HPCP9,end_sample,freesound_id,id,loudness,melbands0,melbands1,melbands10,melbands11,melbands12,melbands13,melbands14,melbands15,melbands16,melbands17,melbands18,melbands19,melbands2,melbands20,melbands21,melbands22,melbands23,melbands3,melbands4,melbands5,melbands6,melbands7,melbands8,melbands9,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,onsets0,onsets1,onsets10,onsets11,onsets12,onsets13,onsets14,onsets15,onsets16,onsets17,onsets18,onsets19,onsets2,onsets20,onsets21,onsets22,onsets23,onsets3,onsets4,onsets5,onsets6,onsets7,onsets8,onsets9,path,start_sample
0,0.23431110382080078,0.047049764543771744,0.5286325216293335,0.19975674152374268,1.0,0.9974111914634705,0.013083175756037235,0.5908727049827576,0.0300517026335001,0.5006162524223328,0.5729303359985352,0.30417487025260925,2538,,None_f0,0.033481480663831636,0.07071709632873535,0.0017593298107385635,9.731306818139274e-07,3.3838284707599087e-07,2.3319361730500532e-07,1.0576113140814414e-07,3.973171303073286e-08,3.7627444271493005e-08,4.0821834801363366e-08,5.326574026298658e-08,2.8822771724890117e-08,7.203521779075572e-09,0.0004913060110993683,1.7245328498560752e-09,1.805911198360377e-09,1.5388718077602448e-09,3.831887307459425e-10,0.0004531599406618625,0.00028685093275271356,0.00012048549251630902,4.752379754791036e-05,2.976987525471486e-05,1.1800399988715071e-05,2.3163420337368734e-06,-675.5299072265625,236.7608642578125,8.535598754882812,7.903799057006836,2.7604122161865234,35.94400405883789,7.305255889892578,20.157207489013672,21.737646102905273,15.773181915283203,18.962066650390625,7.446834564208984,24.411718368530273,0.07071709632873535,0.0017593298107385635,9.731306818139274e-07,3.3838284707599087e-07,2.3319361730500532e-07,1.0576113140814414e-07,3.973171303073286e-08,3.7627444271493005e-08,4.0821834801363366e-08,5.326574026298658e-08,2.8822771724890117e-08,7.203521779075572e-09,0.0004913060110993683,1.7245328498560752e-09,1.805911198360377e-09,1.5388718077602448e-09,3.831887307459425e-10,0.0004531599406618625,0.00028685093275271356,0.00012048549251630902,4.752379754791036e-05,2.976987525471486e-05,1.1800399988715071e-05,2.3163420337368734e-06,262350__stereo-surgeon__grinder-drum-loop.wav,0
1,0.2451629787683487,0.1388363242149353,0.6833070516586304,0.014016133733093739,0.08407855778932571,0.0008903800626285374,0.08026783168315887,0.6795112490653992,0.20305317640304565,0.0004830864490941167,1.0,0.009224319830536842,5076,,None_f1,0.026206639547626084,0.041366349905729294,7.186474977061152e-05,3.848549923191058e-09,2.8193507528584405e-09,1.6577021977326467e-09,8.788285099647908e-10,5.547116654902595e-10,5.005159064985776e-10,8.277272756096465e-10,1.7048380485107373e-09,9.409830692419519e-10,2.80688611242752e-10,2.5396784621989354e-05,6.402726959731098e-11,4.506444176155533e-11,5.3102564012696973e-11,1.942418101363863e-11,5.154016434971709e-06,4.30212003266206e-06,2.3824879917810904e-06,1.1553837566680158e-06,2.3086185763077083e-07,5.725695473302039e-08,9.08657415976677e-09,-894.79052734375,244.56887817382812,13.328960418701172,13.020587921142578,9.360366821289062,85.28016662597656,11.258670806884766,21.61530303955078,33.742286682128906,32.911338806152344,25.206544876098633,12.620197296142578,16.586511611938477,0.041366349905729294,7.186474977061152e-05,3.848549923191058e-09,2.8193507528584405e-09,1.6577021977326467e-09,8.788285099647908e-10,5.547116654902595e-10,5.005159064985776e-10,8.277272756096465e-10,1.7048380485107373e-09,9.409830692419519e-10,2.80688611242752e-10,2.5396784621989354e-05,6.402726959731098e-11,4.506444176155533e-11,5.3102564012696973e-11,1.942418101363863e-11,5.154016434971709e-06,4.30212003266206e-06,2.3824879917810904e-06,1.1553837566680158e-06,2.3086185763077083e-07,5.725695473302039e-08,9.08657415976677e-09,262350__stereo-surgeon__grinder-drum-loop.wav,2538
2,0.05682186409831047,0.04168207198381424,0.17148809134960175,0.15880323946475983,0.10996337980031967,0.9992122054100037,0.0028838273137807846,0.01951763592660427,0.0035341610200703144,0.32283711433410645,1.0,0.0012048145290464163,7614,,None_f2,0.019978782527553838,0.027814680710434914,1.3161517927073874e-05,3.8575004301932836e-10,2.0655824273241308e-10,1.3928788678008175e-10,8.641928839203672e-11,3.2012014566928926e-11,2.558897538307292e-11,3.040567797540916e-11,3.8205220237452764e-11,4.006438583670224e-11,2.2671932040085885e-11,3.0063795293244766e-06,1.3316342820091087e-11,4.1788629848160674e-12,5.4248697547998326e-12,3.829820575257381e-12,1.2884962643511244e-06,3.321152917123982e-07,1.335191939233482e-07,2.601254855960633e-08,5.280446302435848e-09,2.2477080197091936e-09,6.160405519040069e-10,-972.9161376953125,198.80511474609375,17.529354095458984,16.083406448364258,15.060501098632812,119.51263427734375,49.50874328613281,20.415985107421875,23.122848510742188,30.849632263183594,29.63360023498535,23.430660247802734,19.24405860900879,0.027814680710434914,1.3161517927073874e-05,3.8575004301932836e-10,2.0655824273241308e-10,1.3928788678008175e-10,8.641928839203672e-11,3.2012014566928926e-11,2.558897538307292e-11,3.040567797540916e-11,3.8205220237452764e-11,4.006438583670224e-11,2.2671932040085885e-11,3.0063795293244766e-06,1.3316342820091087e-11,4.1788629848160674e-12,5.4248697547998326e-12,3.829820575257381e-12,1.2884962643511244e-06,3.321152917123982e-07,1.335191939233482e-07,2.601254855960633e-08,5.280446302435848e-09,2.2477080197091936e-09,6.160405519040069e-10,262350__stereo-surgeon__grinder-drum-loop.wav,5076
3,0.04724736884236336,0.04930507391691208,0.0031025575008243322,0.03411278873682022,0.014564198441803455,0.013251387514173985,0.007089479826390743,0.9675207138061523,0.010308153927326202,0.07235905528068542,1.0,0.05931247025728226,10152,,None_f3,0.007627960637951574,0.006229874677956104,3.731097422132734e-07,3.896755834675858e-11,2.305110963218837e-11,1.2747913835653435e-11,5.761763895856253e-12,1.9936623966293476e-12,2.4747990115536744e-12,3.4086743844197187e-12,3.6346273213361258e-12,8.808265748727617e-12,9.713343844530709e-12,6.128602194621635e-07,5.430164564529383e-12,1.5154209267662089e-12,2.208680504114935e-12,1.952722055234557e-12,1.1280259570867202e-07,2.204230042934796e-08,8.260731654274878e-09,2.9602982287713075e-09,9.794988153899453e-10,1.8651608035824552e-10,8.114027505445875e-11,-1028.693359375,140.14108276367188,22.165889739990234,24.7027530670166,26.441482543945312,103.20513916015625,62.89082336425781,35.18034744262695,24.319854736328125,23.812183380126953,24.811655044555664,23.49917221069336,21.68631935119629,0.006229874677956104,3.731097422132734e-07,3.896755834675858e-11,2.305110963218837e-11,1.2747913835653435e-11,5.761763895856253e-12,1.9936623966293476e-12,2.4747990115536744e-12,3.4086743844197187e-12,3.6346273213361258e-12,8.808265748727617e-12,9.713343844530709e-12,6.128602194621635e-07,5.430164564529383e-12,1.5154209267662089e-12,2.208680504114935e-12,1.952722055234557e-12,1.1280259570867202e-07,2.204230042934796e-08,8.260731654274878e-09,2.9602982287713075e-09,9.794988153899453e-10,1.8651608035824552e-10,8.114027505445875e-11,262350__stereo-surgeon__grinder-drum-loop.wav,7614
4,0.15747377276420593,0.06872523576021194,0.05123009532690048,0.04957292973995209,0.18007251620292664,0.02408437244594097,0.9171551465988159,0.03181196749210358,0.0363856703042984,0.09018980711698532,1.0,0.1014484390616417,12690,,None_f4,0.002703249031770314,0.0013396324357017875,4.8588614021127796e-08,9.06216074403332e-12,8.053673179742038e-12,2.9978539182323738e-12,2.651870476683138e-12,1.2516074331461735e-12,7.787742889800442e-13,1.2196003755515772e-12,2.0480416407925306e-12,2.7990511384384797e-12,3.009368578985039e-12,1.6629622123787158e-08,2.4328158845093872e-12,1.0092913917819635e-12,1.7180919230710967e-12,1.284069096711693e-12,3.5551817045842427e-09,6.325358015146776e-10,3.853404539899685e-10,2.503499629824546e-10,1.6565501748111444e-10,3.5247457730314125e-11,1.217121629176754e-11,-1075.53662109375,86.3173599243164,22.76906967163086,22.634912490844727,21.964797973632812,78.98406982421875,68.31840515136719,56.226200103759766,44.6536865234375,35.13086700439453,28.468530654907227,24.677265167236328,23.11167335510254,0.0013396324357017875,4.8588614021127796e-08,9.06216074403332e-12,8.053673179742038e-12,2.9978539182323738e-12,2.651870476683138e-12,1.2516074331461735e-12,7.787742889800442e-13,1.2196003755515772e-12,2.0480416407925306e-12,2.7990511384384797e-12,3.009368578985039e-12,1.6629622123787158e-08,2.4328158845093872e-12,1.0092913917819635e-12,1.7180919230710967e-12,1.284069096711693e-12,3.5551817045842427e-09,6.325358015146776e-10,3.853404539899685e-10,2.503499629824546e-10,1.6565501748111444e-10,3.5247457730314125e-11,1.217121629176754e-11,262350__stereo-surgeon__grinder-drum-loop.wav,10152
5,0.0018924328032881021,0.9262568354606628,0.4026278257369995,0.17734777927398682,0.7412821650505066,0.7968249320983887,0.09307430684566498,0.02692343294620514,0.14417201280593872,0.13004615902900696,0.08614808320999146,1.0,15228,,None_f5,0.017368770566298514,0.018302220851182938,0.002665397012606263,4.099127181689255e-05,2.8460679459385574e-05,3.162571829307126e-06,1.7298443708568811e-06,1.393434899910062e-06,1.0952804814223782e-06,8.224259318012628e-07,3.1375961384583206e-07,1.4805577563947736e-07,2.0051888327543566e-07,0.0011635343544185162,2.876080884561816e-07,4.3862721099685587e-07,3.054712180983188e-07,4.6559645028310115e-08,0.002005634130910039,0.0009309863671660423,0.0004496662295423448,0.00019951342255808413,0.0001489499118179083,0.00010351761011406779,2.6646661353879608e-05,-565.5189208984375,185.4306640625,18.562583923339844,6.656761169433594,-3.550853729248047,-2.0118160247802734,14.368074417114258,6.520477294921875,8.184110641479492,-1.8954448699951172,17.46824836730957,6.545204162597656,3.5377941131591797,0.018302220851182938,0.002665397012606263,4.099127181689255e-05,2.8460679459385574e-05,3.162571829307126e-06,1.7298443708568811e-06,1.393434899910062e-06,1.0952804814223782e-06,8.224259318012628e-07,3.1375961384583206e-07,1.4805577563947736e-07,2.0051888327543566e-07,0.0011635343544185162,2.876080884561816e-07,4.3862721099685587e-07,3.054712180983188e-07,4.6559645028310115e-08,0.002005634130910039,0.0009309863671660423,0.0004496662295423448,0.00019951342255808413,0.0001489499118179083,0.00010351761011406779,2.6646661353879608e-05,262350__stereo-surgeon__grinder-drum-loop.wav,12690
6,0.9148178100585938,0.5319787263870239,0.0812867134809494,0.864581823348999,0.16835922002792358,0.09317157417535782,0.24599015712738037,0.1764722764492035,0.12942373752593994,0.5124455094337463,1.0,0.2960814833641052,17766,,None_f6,0.01527691112906093,0.01738099940121174,0.00011654652189463377,3.4319673432037234e-06,1.0071795486510382e-06,1.7439765542803798e-07,6.673333530216041e-08,4.9880956254355624e-08,4.252378360547482e-08,1.873151234121906e-08,6.667013607852823e-09,6.532187679653134e-09,7.396494527966979e-09,0.00012400482955854386,5.111862044770987e-09,3.1776996589627515e-09,1.6238027589210446e-09,5.246521550539285e-10,0.0001957823260454461,0.00047487119445577264,0.00036412011831998825,0.00010770909284474328,9.840026177698746e-05,8.951279596658424e-05,9.449737262912095e-06,-684.9445190429688,232.62094116210938,24.566402435302734,4.278589248657227,6.540069580078125,-29.45608139038086,-14.485843658447266,13.037845611572266,25.97550392150879,11.890369415283203,21.05928611755371,26.294193267822266,17.279090881347656,0.01738099940121174,0.00011654652189463377,3.4319673432037234e-06,1.0071795486510382e-06,1.7439765542803798e-07,6.673333530216041e-08,4.9880956254355624e-08,4.252378360547482e-08,1.873151234121906e-08,6.667013607852823e-09,6.532187679653134e-09,7.396494527966979e-09,0.00012400482955854386,5.111862044770987e-09,3.1776996589627515e-09,1.6238027589210446e-09,5.246521550539285e-10,0.0001957823260454461,0.00047487119445577264,0.00036412011831998825,0.00010770909284474328,9.840026177698746e-05,8.951279596658424e-05,9.449737262912095e-06,262350__stereo-surgeon__grinder-drum-loop.wav,15228
7,0.8679248094558716,0.030804691836237907,0.014767232351005077,0.27332985401153564,0.0035965691786259413,0.18459567427635193,0.20206697285175323,0.22248077392578125,0.09865202754735947,0.03420952335000038,1.0,0.2887929081916809,20304,,None_f7,0.00469821489543028,0.00241820584051311,3.052939791814424e-05,5.85048837820068e-07,5.984998097119387e-08,3.108623403136335e-08,1.0823587359709563e-08,4.28132729268782e-09,1.8265468026967824e-09,7.850811667431401e-10,4.2747932971209934e-10,2.843217605796866e-10,2.502410778593145e-10,5.29471981280949e-05,1.644533814681992e-10,3.802080178472167e-11,4.745022950947142e-12,1.160674421157859e-12,8.236708526965231e-05,0.0001469984563300386,0.00017275798018090427,3.081850445596501e-05,2.173162647522986e-05,8.222345968533773e-06,1.6522093346793554e-06,-786.347412109375,255.3018798828125,8.196430206298828,9.941009521484375,10.763946533203125,-28.335247039794922,-25.72516632080078,9.34027099609375,12.034339904785156,16.845767974853516,12.617021560668945,21.130069732666016,16.877031326293945,0.00241820584051311,3.052939791814424e-05,5.85048837820068e-07,5.984998097119387e-08,3.108623403136335e-08,1.0823587359709563e-08,4.28132729268782e-09,1.8265468026967824e-09,7.850811667431401e-10,4.2747932971209934e-10,2.843217605796866e-10,2.502410778593145e-10,5.29471981280949e-05,1.644533814681992e-10,3.802080178472167e-11,4.745022950947142e-12,1.160674421157859e-12,8.236708526965231e-05,0.0001469984563300386,0.00017275798018090427,3.081850445596501e-05,2.173162647522986e-05,8.222345968533773e-06,1.6522093346793554e-06,262350__stereo-surgeon__grinder-drum-loop.wav,17766
8,0.40593987703323364,0.10935252904891968,0.7334322929382324,0.016604550182819366,0.005193605087697506,1.0,0.015089545398950577,0.41521281003952026,0.022274043411016464,0.1422119289636612,0.41823068261146545,0.09141839295625687,22842,,None_f8,0.03202741365906195,0.07277767360210419,0.002018493600189686,1.2425114164216211e-06,5.349963316803041e-07,3.403106063615269e-07,2.2925104303794797e-07,9.319160909626589e-08,7.855675931978112e-08,5.4448896946723835e-08,6.050336054386207e-08,3.6325449315199876e-08,9.619678387196018e-09,0.00044056016486138105,4.07778966149408e-09,3.187526020909104e-09,2.5914876911059537e-09,1.0528238281182212e-09,0.00047663276200182736,0.0002700501645449549,0.0001325736375292763,6.184438825584948e-05,2.6611294742906466e-05,1.158653412858257e-05,2.8865276817668928e-06,-661.9671630859375,226.0423126220703,8.18606185913086,9.480705261230469,2.7482662200927734,33.300296783447266,14.466520309448242,15.129276275634766,24.036663055419922,18.299236297607422,18.207368850708008,11.280746459960938,19.700223922729492,0.07277767360210419,0.002018493600189686,1.2425114164216211e-06,5.349963316803041e-07,3.403106063615269e-07,2.2925104303794797e-07,9.319160909626589e-08,7.855675931978112e-08,5.4448896946723835e-08,6.050336054386207e-08,3.6325449315199876e-08,9.619678387196018e-09,0.00044056016486138105,4.07778966149408e-09,3.187526020909104e-09,2.5914876911059537e-09,1.0528238281182212e-09,0.00047663276200182736,0.0002700501645449549,0.0001325736375292763,6.184438825584948e-05,2.6611294742906466e-05,1.158653412858257e-05,2.8865276817668928e-06,262350__stereo-surgeon__grinder-drum-loop.wav,20304
9,0.2214398980140686,0.0950283333659172,0.3876410722732544,0.007839669473469257,0.06372065097093582,0.0027275087777525187,0.5051681399345398,0.9103274345397949,0.2970770299434662,0.023645466193556786,1.0,0.018852634355425835,25380,,None_f9,0.02563772058749969,0.041217949241399765,6.321640830719844e-05,6.6214993488245e-09,3.5306171319859914e-09,2.623693262648885e-09,1.186274078968097e-09,8.617130342614132e-10,6.851687550657459e-10,8.61395399454068e-10,1.608361777094558e-09,1.4121125380128774e-09,4.3427891838199173e-10,2.7404603315517306e-05,1.0318844390067028e-10,6.629519155865182e-11,9.144631579749429e-11,4.385057594813446e-11,7.701793947489932e-06,4.1430389501329046e-06,2.612357093312312e-06,1.6504086488566827e-06,3.207354382084304e-07,4.014708565591718e-08,1.50774948082244e-08,-887.70166015625,243.06256103515625,14.2567138671875,19.20098304748535,16.598407745361328,79.71833801269531,10.503276824951172,21.869483947753906,28.441959381103516,33.558013916015625,26.603778839111328,13.197948455810547,14.925479888916016,0.041217949241399765,6.321640830719844e-05,6.6214993488245e-09,3.5306171319859914e-09,2.623693262648885e-09,1.186274078968097e-09,8.617130342614132e-10,6.851687550657459e-10,8.61395399454068e-10,1.608361777094558e-09,1.4121125380128774e-09,4.3427891838199173e-10,2.7404603315517306e-05,1.0318844390067028e-10,6.629519155865182e-11,9.144631579749429e-11,4.385057594813446e-11,7.701793947489932e-06,4.1430389501329046e-06,2.612357093312312e-06,1.6504086488566827e-06,3.207354382084304e-07,4.014708565591718e-08,1.50774948082244e-08,262350__stereo-surgeon__grinder-drum-loop.wav,22842
